size_class,severity,method,n_is,nd_size_median,nd_size_q1,nd_size_q3,nd_size_iqr,contrib_inclusive_median,contrib_inclusive_q1,contrib_inclusive_q3,contrib_inclusive_iqr,contrib_unique_median,contrib_unique_q1,contrib_unique_q3,contrib_unique_iqr,runtime_median_seconds_median,runtime_median_seconds_q1,runtime_median_seconds_q3,runtime_median_seconds_iqr,ttff_median_seconds_median,ttff_median_seconds_q1,ttff_median_seconds_q3,ttff_median_seconds_iqr,feasibility_rate_median,feasibility_rate_q1,feasibility_rate_q3,feasibility_rate_iqr
large,schwer,V3,4,24.5,23.75,26.0,2.25,0.05940431133783117,0.035356880058866814,0.07264587942477876,0.03728899936591195,0.057236396477760215,0.035356880058866814,0.07264587942477876,0.03728899936591195,71.69549999998708,71.19599999999627,72.77749999999651,1.5815000000002328,0.0629999999946449,0.058250000001862645,0.0779999999795109,0.019749999977648258,1.0,1.0,1.0,0.0
large,schwer,V4,4,114.0,105.5,126.0,20.5,0.9022775423728814,0.8816479078958674,0.9334437086092715,0.05179580071340406,0.8980402542372881,0.8816479078958674,0.9334437086092715,0.05179580071340406,90.0,90.0,90.01499999998487,0.014999999984866008,0.046999999991385266,0.046999999991385266,0.046999999998661224,7.275957614183426e-12,1.0,1.0,1.0,0.0
medium,leicht,V1,4,4.0,4.0,5.0,1.0,0.021983763363073706,0.018362282878411913,0.025321239606953892,0.006958956728541979,0.012624452409398645,0.006714944042132982,0.014799855317096697,0.008084911274963715,24.39100000000326,23.937000000005355,25.078249999991385,1.1412499999860302,0.9444999999977881,0.808500000006461,1.0349999999962165,0.22649999998975545,1.0,1.0,1.0,0.0
medium,leicht,V2,4,3.0,2.0,3.0,1.0,0.01763914752741568,0.011749302863361219,0.019618169848584596,0.007868866985223377,0.0064516129032258064,0.0058746514316806095,0.00755957005957006,0.0016849186278894502,5.812499999985448,5.4025000000037835,6.101750000008906,0.6992500000051223,0.8669999999983702,0.8434999999954016,0.9570000000094296,0.11350000001402805,1.0,1.0,1.0,0.0
medium,leicht,V3,4,25.5,23.0,26.0,3.0,0.018166191350548894,0.005592396109637489,0.054516250944822375,0.04892385483518489,0.01187639176465992,0.0,0.048185941043083894,0.048185941043083894,66.47600000000966,65.0347499999989,67.18774999999005,2.1529999999911524,0.030999999988125637,0.01600000000325963,0.031250000014551915,0.015250000011292286,1.0,1.0,1.0,0.0
medium,leicht,V4,4,157.5,143.25,170.5,27.25,0.9503264454465908,0.9315948601662888,0.974728001527009,0.04313314136072022,0.9475331493572055,0.9251700680272109,0.9706267428415969,0.04545667481438598,90.0,90.0,90.0,0.0,0.01600000000325963,0.015000000013969839,0.031249999992724042,0.016249999978754204,1.0,1.0,1.0,0.0
medium,mittel,V1,4,5.0,3.75,5.25,1.5,0.018480580452411438,0.014062955406587,0.02402488758757712,0.00996193218099012,0.01466795615731786,0.01323255248439653,0.01684053651266766,0.003607984028271132,24.577999999994063,23.996500000001106,25.39875000000029,1.402249999999185,0.9219999999913853,0.8597499999887077,0.9612499999930151,0.10150000000430737,1.0,1.0,1.0,0.0
medium,mittel,V2,4,4.0,3.0,4.0,1.0,0.006970756825026717,0.005803990041064442,0.013865954346770277,0.008061964305705835,0.005988882911959835,0.004673200493282274,0.006945463438493519,0.002272262945211245,5.7110000000102445,5.58574999999837,5.839750000006461,0.25400000000809086,0.9369999999908032,0.8862500000104774,1.0317500000019209,0.14549999999144347,1.0,1.0,1.0,0.0
medium,mittel,V3,4,24.5,23.75,27.0,3.25,0.03497187576424554,0.016111875860342885,0.038739669421487606,0.02262779356114472,0.028009281955747298,0.010105118258040295,0.030991735537190084,0.02088661727914979,66.95299999999406,66.46949999999924,75.26175000000512,8.792250000005879,0.030999999988125637,0.01600000000325963,0.031250000014551915,0.015250000011292286,1.0,1.0,1.0,0.0
medium,mittel,V4,4,144.0,132.0,183.75,51.75,0.9515086659112846,0.9369193502422342,0.9631773244900513,0.026257974247817173,0.9450039867388476,0.9296808207466515,0.9560860134317775,0.026405192685125978,90.0,90.0,90.0,0.0,0.01600000000325963,0.01599999999598367,0.030999999988125637,0.014999999992141966,1.0,1.0,1.0,0.0
