size_class,severity,method_a,method_b,n_is,coverage_median,coverage_q1,coverage_q3,coverage_iqr
small,leicht,V1,V2,4,0.29166666666666663,0.1875,0.375,0.1875
small,leicht,V1,V3,4,0.38636363636363635,0.2526223776223776,0.5178571428571428,0.2652347652347652
small,leicht,V1,V4,4,0.11889274710226438,0.10186894969503665,0.17959457195510137,0.07772562226006471
small,leicht,V2,V1,4,0.0,0.0,0.05,0.05
small,leicht,V2,V2,4,0.0,0.0,0.0,0.0
small,leicht,V2,V3,4,0.0,0.0,0.004464285714285714,0.004464285714285714
small,leicht,V2,V4,4,0.0,0.0,0.0,0.0
small,leicht,V3,V1,4,0.1,0.0,0.21250000000000002,0.21250000000000002
small,leicht,V3,V2,4,0.125,0.0,0.2708333333333333,0.2708333333333333
small,leicht,V3,V3,4,0.0,0.0,0.0,0.0
small,leicht,V3,V4,4,0.0,0.0,0.0,0.0
small,leicht,V4,V1,4,0.1,0.0,0.21250000000000002,0.21250000000000002
small,leicht,V4,V2,4,0.125,0.0,0.2708333333333333,0.2708333333333333
small,leicht,V4,V3,4,0.7737012987012988,0.6447552447552447,0.8992346938775511,0.25447944912230636
small,leicht,V4,V4,4,0.0,0.0,0.0,0.0
small,mittel,V1,V1,4,0.0,0.0,0.0,0.0
small,mittel,V1,V2,4,0.4642857142857143,0.4214285714285714,0.5416666666666666,0.12023809523809526
small,mittel,V1,V3,4,0.45042417815482505,0.3967391304347826,0.5031085604973697,0.10636943006258714
small,mittel,V1,V4,4,0.0691671796675754,0.027108433734939756,0.10716559158037685,0.0800571578454371
small,mittel,V2,V1,4,0.11805555555555555,0.08333333333333333,0.17708333333333331,0.09374999999999999
small,mittel,V2,V2,4,0.0,0.0,0.0,0.0
small,mittel,V2,V3,4,0.0,0.0,0.018292682926829267,0.018292682926829267
small,mittel,V2,V4,4,0.0,0.0,0.0,0.0
small,mittel,V3,V1,4,0.18055555555555555,0.08333333333333333,0.2708333333333333,0.1875
small,mittel,V3,V2,4,0.34285714285714286,0.21428571428571427,0.42500000000000004,0.21071428571428577
small,mittel,V3,V3,4,0.0,0.0,0.0,0.0
small,mittel,V3,V4,4,0.0,0.0,0.0,0.0
small,mittel,V4,V1,4,0.1388888888888889,0.08333333333333333,0.1875,0.10416666666666667
small,mittel,V4,V2,4,0.26785714285714285,0.1875,0.3142857142857143,0.12678571428571428
small,mittel,V4,V3,4,0.7841993637327678,0.7173913043478262,0.8425394548063128,0.1251481504584866
small,mittel,V4,V4,4,0.0,0.0,0.0,0.0
small,schwer,V1,V1,4,0.0,0.0,0.0,0.0
small,schwer,V1,V2,4,0.2,0.2,0.275,0.07500000000000001
small,schwer,V1,V3,4,0.39852607709750565,0.3234848484848485,0.4407378335949764,0.11725298511012794
small,schwer,V1,V4,4,0.0,0.0,0.012738853503184714,0.012738853503184714
small,schwer,V2,V1,4,0.07142857142857142,0.0,0.23214285714285715,0.23214285714285715
small,schwer,V2,V2,4,0.0,0.0,0.0,0.0
small,schwer,V2,V3,4,0.0,0.0,0.006944444444444444,0.006944444444444444
small,schwer,V2,V4,4,0.0,0.0,0.0,0.0
small,schwer,V3,V1,4,0.18253968253968253,0.10714285714285714,0.30952380952380953,0.20238095238095238
small,schwer,V3,V2,4,0.225,0.2,0.3375,0.1375
small,schwer,V3,V3,4,0.0,0.0,0.0,0.0
small,schwer,V3,V4,4,0.0,0.0,0.0017730496453900709,0.0017730496453900709
small,schwer,V4,V1,4,0.18253968253968253,0.14285714285714285,0.26666666666666666,0.12380952380952381
small,schwer,V4,V2,4,0.2,0.2,0.21250000000000002,0.012500000000000011
small,schwer,V4,V3,4,0.7114219114219115,0.6196581196581197,0.7853432282003712,0.1656851085422515
small,schwer,V4,V4,4,0.0,0.0,0.0,0.0
all,all,V1,V1,36,0.0,0.0,0.0,0.0
all,all,V1,V2,34,0.2,0.0,0.4214285714285714,0.4214285714285714
all,all,V1,V3,36,0.08172043010752689,0.0,0.3937074829931973,0.3937074829931973
all,all,V1,V4,36,0.0,0.0,0.0796014993095285,0.0796014993095285
all,all,V2,V1,36,0.0,0.0,0.11458333333333333,0.11458333333333333
all,all,V2,V2,34,0.0,0.0,0.0,0.0
all,all,V2,V3,36,0.0,0.0,0.0,0.0
all,all,V2,V4,36,0.0,0.0,0.0,0.0
all,all,V3,V1,36,0.16666666666666666,0.0,0.2222222222222222,0.2222222222222222
all,all,V3,V2,34,0.25,0.0,0.3333333333333333,0.3333333333333333
all,all,V3,V3,36,0.0,0.0,0.0,0.0
all,all,V3,V4,36,0.0,0.0,0.02425526904509596,0.02425526904509596
all,all,V4,V1,36,0.14285714285714285,0.0,0.2222222222222222,0.2222222222222222
all,all,V4,V2,34,0.225,0.0,0.3333333333333333,0.3333333333333333
all,all,V4,V3,36,0.7907824933687002,0.6504207573632539,0.888536866359447,0.23811610899619307
all,all,V4,V4,36,0.0,0.0,0.0,0.0
