size_class,severity,method,n_is,nd_size_median,nd_size_q1,nd_size_q3,nd_size_iqr,contrib_inclusive_median,contrib_inclusive_q1,contrib_inclusive_q3,contrib_inclusive_iqr,contrib_unique_median,contrib_unique_q1,contrib_unique_q3,contrib_unique_iqr,runtime_median_seconds_median,runtime_median_seconds_q1,runtime_median_seconds_q3,runtime_median_seconds_iqr,ttff_median_seconds_median,ttff_median_seconds_q1,ttff_median_seconds_q3,ttff_median_seconds_iqr,feasibility_rate_median,feasibility_rate_q1,feasibility_rate_q3,feasibility_rate_iqr
medium,mittel,V2,4,6.0,5.75,6.25,0.5,0.013687307369010927,0.00923918762496054,0.018072289156626505,0.008833101531665966,0.010548983263370223,0.0079501210144165,0.012048192771084338,0.004098071756667838,5.75,5.668250000002445,5.827750000004016,0.1595000000015716,0.9530000000086147,0.8907500000059372,1.0152500000112923,0.1245000000053551,1.0,1.0,1.0,0.0
medium,mittel,V3,4,53.5,49.5,56.0,6.5,0.022036985149901933,0.011971140375455309,0.04634601755438042,0.03437487717892511,0.016699355561782012,0.0069767441860465115,0.04069672354576678,0.03371997935972027,67.21899999998277,66.789749999989,69.46474999998463,2.6749999999956344,0.030999999988125637,0.027249999991909135,0.031249999992724042,0.004000000000814907,1.0,1.0,1.0,0.0
medium,mittel,V4,4,199.0,160.75,235.25,74.5,0.9405996077332586,0.9152401461047811,0.9545741103950687,0.03933396429028757,0.9352619781451388,0.9095908520961675,0.9495797142056598,0.03998886210949226,90.0,90.0,90.0,0.0,0.023499999995692633,0.01600000000325963,0.031249999992724042,0.015249999989464413,1.0,1.0,1.0,0.0
medium,schwer,V1,4,10.0,9.5,10.25,0.75,0.03581027667984189,0.030917061110297822,0.040752688172043014,0.009835627061745192,0.02883399209486166,0.02589502106410319,0.03190860215053763,0.006013581086434443,27.110000000000582,26.65700000000652,27.269749999999476,0.6127499999929569,0.9764999999897555,0.9649999999892316,1.0465000000040163,0.08150000001478475,1.0,1.0,1.0,0.0
medium,schwer,V2,4,7.0,6.0,7.25,1.25,0.014867914509491572,0.007160981798662959,0.022379032258064514,0.015218050459401555,0.0075,0.0,0.015282258064516129,0.015282258064516129,6.320000000006985,6.171500000011292,6.605250000000524,0.4337499999892316,1.1169999999838183,1.0467499999867869,1.1639999999897555,0.11725000000296859,1.0,1.0,1.0,0.0
medium,schwer,V3,4,45.5,44.75,46.0,1.25,0.04208150803132882,0.032840482115844435,0.04475806451612903,0.011917582400284593,0.04208150803132882,0.030864197530864196,0.04350806451612903,0.012643866985264832,65.10150000000431,62.41399999999703,66.5115000000078,4.097500000010768,0.03149999999732245,0.027249999991909135,0.03200000000651926,0.004750000014610123,1.0,1.0,1.0,0.0
medium,schwer,V4,4,203.5,177.75,231.5,53.75,0.9150205761316872,0.8994623655913979,0.93962572585761,0.040163360266212034,0.913945307314483,0.8971370967741935,0.9376494412726297,0.040512344498436215,90.0,90.0,90.0,0.0,0.023499999995692633,0.01600000000325963,0.030999999988125637,0.014999999984866008,1.0,1.0,1.0,0.0
small,leicht,V1,4,5.0,4.75,5.5,0.75,0.02804819277108434,0.02267351615049154,0.03895726495726496,0.01628374880677342,0.018238598566043315,0.017554216867469878,0.026624193802107912,0.009069976934638034,4.242499999993015,3.3167499999981374,6.429999999985739,3.1132499999876018,0.14100000000325963,0.13700000000244472,0.148750000007567,0.011750000005122274,1.0,1.0,1.0,0.0
small,leicht,V2,4,2.5,2.0,3.25,1.25,0.010297600659046443,0.007943998741544755,0.013036144578313254,0.005092145836768499,0.0030120481927710845,0.0,0.0060518146204449706,0.0060518146204449706,0.930000000007567,0.8709999999991851,0.9927500000121654,0.12175000001298031,0.14849999999569263,0.13699999998061685,0.15625000001455192,0.019250000033935066,1.0,1.0,1.0,0.0
small,leicht,V3,4,53.5,51.25,55.25,4.0,0.07557838716830512,0.02514288710607729,0.12836144578313252,0.10321855867705523,0.06949885431295735,0.018404907975460124,0.12184337349397589,0.10343846551851577,14.57050000000163,13.242500000000291,15.949249999997846,2.7067499999975553,0.0,0.0,0.00399999999353895,0.00399999999353895,1.0,1.0,1.0,0.0
small,leicht,V4,4,144.0,123.0,179.5,56.5,0.9050818659252394,0.8520843373493976,0.9492685228881547,0.09718418553875707,0.897796313458964,0.8455662650602409,0.9413245241466099,0.09575825908636904,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
small,mittel,V1,4,7.0,5.75,8.25,2.5,0.0233949364384147,0.017729111131537828,0.03127655957844637,0.013547448446908542,0.020692233735711996,0.016275622759444802,0.02565017848036716,0.009374555720922356,7.874500000005355,3.3667500000083237,13.109250000001339,9.742499999993015,0.15599999998812564,0.1519999999945867,0.15624999999272404,0.004249999998137355,1.0,1.0,1.0,0.0
small,mittel,V2,4,4.5,3.75,5.5,1.75,0.009766522658332567,0.0072802051062920625,0.011865584320608455,0.004585379214316392,0.006051630832236361,0.00436046511627907,0.006693265717055709,0.0023328006007766397,0.930000000007567,0.8910000000032596,0.9962500000110595,0.10525000000779983,0.15599999998812564,0.15599999998812564,0.1559999999954016,7.275957614183426e-12,1.0,1.0,1.0,0.0
small,mittel,V3,4,46.0,44.75,47.25,2.5,0.011252762196158422,0.0057051234245655905,0.026697045883092393,0.020991922458526803,0.005405405405405406,0.0,0.02118950345694532,0.02118950345694532,13.867499999993015,12.68349999999191,15.117500000000291,2.434000000008382,0.007500000006984919,0.0,0.015250000011292286,0.015250000011292286,1.0,1.0,1.0,0.0
small,mittel,V4,4,175.0,170.5,202.0,31.5,0.9559238483766785,0.9448222904782799,0.9647046255741909,0.019882335095910975,0.9500764915859256,0.9386518209741114,0.9596624292276466,0.02101060825353518,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
small,schwer,V1,4,8.0,7.0,9.25,2.25,0.02602368866328257,0.022254417115095532,0.031146496815286626,0.008892079700191093,0.02015228426395939,0.018218884120171672,0.02319020983542953,0.0049713257152578585,4.5935000000026776,2.4487499999959255,8.093750000007276,5.6450000000113505,0.15600000000267755,0.15224999999190914,0.16000000001076842,0.007750000018859282,1.0,1.0,1.0,0.0
small,schwer,V2,4,5.0,4.75,5.0,0.25,0.016369426751592357,0.010627101500779095,0.020076142131979696,0.009449040631200601,0.008812589413447782,0.003218884120171674,0.013807106598984771,0.010588222478813098,0.9610000000102445,0.8950000000040745,1.0815000000075088,0.18650000000343425,0.15649999999732245,0.14100000000325963,0.17574999999487773,0.0347499999916181,1.0,1.0,1.0,0.0
